batch,cpu_action_encoder_ms,cpu_predictor_ms,cpu_total_ms,npu_fp16_ms,speedup
1,12.0252,29.7956,41.8207,8.4609,3.5216
2,11.9504,30.5702,42.5207,6.2917,4.8588
4,12.8885,33.0998,45.9883,9.1891,3.6021
8,13.8919,39.9559,53.8477,15.2991,2.6116
12,15.3467,45.3232,60.6699,21.3575,2.1221
16,16.8128,51.7660,68.5788,27.5028,1.8822
24,18.9976,62.1511,81.1486,43.0927,1.4423
32,22.0723,72.7356,94.8079,52.0011,1.3987
48,26.4270,104.3284,130.7554,75.5361,1.3812
64,31.9527,127.0585,159.0112,102.3911,1.2409
96,40.5862,176.1220,216.7082,148.8833,1.1830
128,49.7917,217.7963,267.5880,198.9807,1.0946
192,66.3869,296.5303,362.9171,295.5452,1.0033
256,83.6369,374.3763,458.0132,397.8483,0.9410
300,92.7349,424.1459,516.8808,459.6463,0.9228
